Designator,Mid X,Mid Y,Rotation,Layer
BAT+1,194.5,-71.0,0.0,bottom
BAT-1,194.5,-75.5,0.0,bottom
BT1,210.1,-73.25,270.0,bottom
D1,85.5,-58.25,0.0,bottom
D10,142.5,-63.0,0.0,bottom
D11,161.5,-67.75,0.0,bottom
D12,180.5,-67.75,0.0,bottom
D13,85.5,-96.25,0.0,bottom
D14,104.5,-96.25,0.0,bottom
D15,123.5,-86.75,0.0,bottom
D16,142.5,-82.0,0.0,bottom
D17,161.5,-86.75,0.0,bottom
D18,180.5,-86.75,0.0,bottom
D19,85.5,-115.25,0.0,bottom
D2,104.5,-58.25,0.0,bottom
D20,104.5,-115.25,0.0,bottom
D21,123.5,-105.75,0.0,bottom
D22,142.5,-101.0,0.0,bottom
D23,161.5,-105.75,0.0,bottom
D24,180.5,-105.75,0.0,bottom
D25,123.5,-124.75,0.0,bottom
D26,142.5,-120.0,0.0,bottom
D27,161.5,-124.75,0.0,bottom
D28,184.770333,-127.813598,15.0,bottom
D29,206.454831,-136.795611,30.0,bottom
D3,123.5,-48.75,0.0,bottom
D4,142.5,-44.0,0.0,bottom
D5,161.5,-48.75,0.0,bottom
D6,180.5,-48.75,0.0,bottom
D7,85.5,-77.25,0.0,bottom
D8,104.5,-77.25,0.0,bottom
D9,123.5,-67.75,0.0,bottom
SW1,85.5,-66.935,0.0,top
SW10,142.5,-71.685,0.0,top
SW11,161.5,-76.435,0.0,top
SW12,180.5,-76.435,0.0,top
SW13,85.5,-104.935,0.0,top
SW14,104.5,-104.935,0.0,top
SW15,123.5,-95.435,0.0,top
SW16,142.5,-90.685,0.0,top
SW17,161.5,-95.435,0.0,top
SW18,180.5,-95.435,0.0,top
SW19,85.5,-123.935,0.0,top
SW2,104.5,-66.935,0.0,top
SW20,104.5,-123.935,0.0,top
SW21,123.5,-114.435,0.0,top
SW22,142.5,-109.685,0.0,top
SW23,161.5,-114.435,0.0,top
SW24,180.5,-114.435,0.0,top
SW25,123.5,-133.435,0.0,top
SW26,142.5,-128.685,0.0,top
SW27,161.5,-133.435,0.0,top
SW28,182.5224897153804,-136.20266373443573,345.0,top
SW29,202.11233013397458,-144.31704155064625,330.0,top
SW3,123.5,-57.435,0.0,top
SW4,142.5,-52.685,0.0,top
SW5,161.5,-57.435,0.0,top
SW6,180.5,-57.435,0.0,top
SW7,85.5,-85.935,0.0,top
SW8,104.5,-85.935,0.0,top
SW9,123.5,-76.435,0.0,top
U1,202.75,-58.075,0.0,bottom
